6E+04	0.003841		0.018044		0.518961	-0.5	-0.3	0.2	0.2
8E+00	-0.084641		0.010797		0.389754	-0.3	-0.4	0.1	0.3
1E+05	0.003405		0.017475		0.470245	-0.4	-0.6	0.2	0.3
6E+04	0.005064		0.061072		0.65374	-0.4	-0.3	0.2	0.2
8E+00	-0.092253		0.034589		0.436233	-0.4	-0.3	0.2	0.2
4E+04	0.003839		0.042639		0.518739	-0.5	-0.4	0.2	0.2
7E+04	0.003055		0.049531		0.43127	-0.5	-0.6	0.2	0.3
6E+04	0.003603		0.033725		0.492352	-0.5	-0.4	0.2	0.2
6E+04	0.003428		0.046905		0.472899	-0.4	-0.6	0.2	0.3
5E+04	0.004016		0.00123		0.538237	-0.4	-0.5	0.2	0.2
7E+00	-0.090913		0.048		0.401034	-0.4	-0.3	0.2	0.2
1E+05	0.004768		-0.000496		0.620887	-0.3	-0.4	0.2	0.2
9E+00	-0.094613		0.051902		0.415173	-0.4	-0.3	0.2	0.2
2E+01	-0.126386		0.029484		0.408314	-0.3	0.3	0.2	0.2
1E+05	0.005242		-0.000292		0.673706	-0.4	-0.2	0.2	0.1
8E+00	-0.100336		0.070987		0.451284	-0.3	0.2	0.2	0.1
9E+02	-0.086024	-0.008342	0.068071	-0.018218	0.311891	-0.4	-0.5	0.2	0.3
1E+12	-0.086131	0.000122	0.081019	-0.028156	0.425963	-0.3	-0.4	0.2	0.2
6E+11	-0.141992	0.000197	0.030408	0.004204	0.338098	-0.4	-0.3	0.2	0.2
1E+03	-0.094209	-0.002377	-0.023347	0.011382	0.415758	-0.4	-0.3	0.2	0.2
2E+11	-0.093157	0.000131	-0.14382	0.039256	0.432437	-0.4	0.3	0.2	0.2
4E+11	-0.094622	0.000133	0.1504	-0.01846	0.42837	-0.3	-0.4	0.2	0.2
4E+11	-0.108449	0.000152	-0.038186	0.015312	0.450938	-0.3	-0.3	0.2	0.2
3E+11	-0.086536	0.000122	0.167904	-0.023477	0.418827	-0.3	-0.4	0.2	0.2
2E+11	-0.092091	0.00013	-0.078194	0.018773	0.441571	-0.3	-0.4	0.1	0.2
7E+02	-0.094395	-0.00586	-0.04915	0.02201	0.356517	-0.4	-0.3	0.2	0.2
4E+11	-0.139797	0.000193	-0.000181	0.006688	0.295486	-0.4	-0.4	0.2	0.2
9E+02	-0.091218	-0.008099	-0.080703	0.039852	0.324483	-0.4	-0.3	0.2	0.2
8E+02	-0.144241	0.008091	0.105166	-0.018627	0.434967	-0.3	0.3	0.2	0.2
5E+11	-0.35713	0.000487	-0.048044	0.020105	0.068309	0.3	0.8	0.2	0.3
3E+03	-0.098962	0.013589	0.510759	-0.098815	0.617173	0.3	0.2	0.2	0.1
